Date,Store_ID,Product_Category,Product,Quantity,Unit_Price,Discount,Customer_Count,Day,Sales
2024-01-01,S04,Dairy,Butter,17,123.1,10,15,Monday,1883.43
2024-01-01,S05,Dairy,Milk,29,482.61,10,16,Monday,12596.12
2024-01-01,S03,Dairy,Butter,38,370.05,10,21,Monday,12655.71
2024-01-01,S05,Snacks,Noodles,15,295.0,10,12,Monday,3982.5
2024-01-01,S05,Personal Care,Shampoo,28,228.66,15,23,Monday,5442.11
2024-01-01,S02,Dairy,Milk,23,329.64,15,15,Monday,6444.46
2024-01-01,S03,Beverages,Soft Drink,3,480.05,15,2,Monday,1224.13
2024-01-01,S03,Household,Detergent,21,493.43,0,12,Monday,10362.03
2024-01-01,S03,Household,Tissue,29,34.8,5,26,Monday,958.74
2024-01-01,S05,Dairy,Curd,16,274.97,0,15,Monday,4399.52
2024-01-01,S04,Personal Care,Toothpaste,43,254.22,10,30,Monday,9838.31
2024-01-01,S03,Personal Care,Soap,24,427.55,0,14,Monday,10261.2
2024-01-01,S05,Snacks,Noodles,32,437.62,5,30,Monday,13303.65
2024-01-01,S02,Dairy,Curd,31,329.37,15,16,Monday,8678.9
2024-01-01,S04,Beverages,Juice,34,279.3,5,35,Monday,9021.39
2024-01-01,S02,Snacks,Chocolate,21,42.98,0,24,Monday,902.58
2024-01-01,S04,Snacks,Noodles,13,420.12,5,11,Monday,5188.48
2024-01-01,S05,Dairy,Butter,25,69.81,10,26,Monday,1570.72
2024-01-01,S01,Dairy,Curd,6,383.06,10,6,Monday,2068.52
2024-01-01,S04,Snacks,Biscuits,22,213.14,20,17,Monday,3751.26
2024-01-01,S02,Snacks,Biscuits,15,278.97,10,9,Monday,3766.1
2024-01-01,S05,Snacks,Chips,43,96.55,20,38,Monday,3321.32
2024-01-01,S04,Grocery,Rice,18,51.05,10,13,Monday,827.01
2024-01-01,S01,Snacks,Biscuits,31,438.34,10,16,Monday,12229.69
2024-01-01,S01,Personal Care,Soap,11,87.92,20,10,Monday,773.7
2024-01-01,S03,Household,Tissue,25,115.5,0,18,Monday,2887.5
2024-01-01,S03,Beverages,Soft Drink,41,35.88,5,31,Monday,1397.53
2024-01-01,S02,Beverages,Coffee,25,173.34,0,23,Monday,4333.5
2024-01-01,S04,Household,Dishwash,18,186.58,10,20,Monday,3022.6
2024-01-01,S04,Dairy,Curd,35,215.84,10,32,Monday,6798.96
2024-01-01,S03,Snacks,Biscuits,41,290.27,20,41,Monday,9520.86
2024-01-01,S04,Beverages,Tea,44,414.54,5,44,Monday,17327.77
2024-01-01,S04,Beverages,Coffee,14,303.2,10,16,Monday,3820.32
2024-01-01,S01,Personal Care,Shampoo,45,347.97,10,38,Monday,14092.79
2024-01-01,S03,Personal Care,Shampoo,20,294.32,5,12,Monday,5592.08
2024-01-01,S05,Grocery,Rice,43,416.41,10,26,Monday,16115.07
2024-01-01,S03,Household,Tissue,37,230.5,10,28,Monday,7675.65
2024-01-01,S05,Grocery,Wheat,34,175.82,0,17,Monday,5977.88
2024-01-01,S01,Beverages,Soft Drink,39,298.64,20,44,Monday,9317.57
2024-01-01,S02,Dairy,Cheese,46,216.49,0,39,Monday,9958.54
2024-01-01,S04,Beverages,Tea,48,242.38,0,37,Monday,11634.24
2024-01-01,S01,Dairy,Curd,26,262.06,10,29,Monday,6132.2
2024-01-01,S04,Beverages,Coffee,40,245.04,0,43,Monday,9801.6
2024-01-01,S02,Personal Care,Toothpaste,20,148.88,15,13,Monday,2530.96
2024-01-01,S02,Snacks,Chocolate,42,210.88,10,36,Monday,7971.26
2024-01-01,S01,Beverages,Juice,8,477.68,10,6,Monday,3439.3
2024-01-01,S02,Grocery,Wheat,43,218.99,5,51,Monday,8945.74
2024-01-01,S05,Dairy,Cheese,23,113.32,5,20,Monday,2476.04
2024-01-01,S02,Dairy,Butter,35,39.32,10,37,Monday,1238.58
2024-01-01,S04,Beverages,Tea,12,276.89,0,12,Monday,3322.68
2024-01-01,S04,Dairy,Butter,3,341.47,5,3,Monday,973.19
2024-01-01,S04,Grocery,Sugar,7,264.49,10,8,Monday,1666.29
2024-01-01,S04,Personal Care,Soap,37,329.13,0,41,Monday,12177.81
2024-01-01,S05,Snacks,Biscuits,44,189.69,20,45,Monday,6677.09
2024-01-01,S03,Snacks,Chips,20,52.83,10,18,Monday,950.94
2024-01-01,S01,Dairy,Curd,24,221.48,15,24,Monday,4518.19
2024-01-01,S04,Beverages,Tea,25,267.97,10,20,Monday,6029.33
2024-01-01,S02,Dairy,Cheese,19,384.58,5,16,Monday,6941.67
2024-01-01,S04,Grocery,Rice,27,462.6,20,19,Monday,9992.16
2024-01-01,S02,Household,Tissue,13,367.19,10,15,Monday,4296.12
2024-01-01,S02,Beverages,Soft Drink,22,306.1,10,26,Monday,6060.78
2024-01-01,S04,Personal Care,Shampoo,36,92.98,10,20,Monday,3012.55
2024-01-01,S05,Grocery,Wheat,23,26.23,5,17,Monday,573.13
2024-01-01,S02,Personal Care,Face Wash,20,157.1,10,15,Monday,2827.8
2024-01-01,S02,Beverages,Coffee,30,92.89,10,15,Monday,2508.03
2024-01-01,S04,Personal Care,Face Wash,19,98.99,10,17,Monday,1692.73
2024-01-01,S02,Grocery,Cooking Oil,27,436.9,5,25,Monday,11206.48
2024-01-01,S02,Grocery,Rice,39,454.87,0,43,Monday,17739.93
2024-01-01,S04,Dairy,Cheese,45,478.0,20,29,Monday,17208.0
2024-01-02,S04,Household,Detergent,2,61.55,15,1,Tuesday,104.64
2024-01-02,S01,Beverages,Tea,40,70.0,5,39,Tuesday,2660.0
2024-01-02,S05,Snacks,Noodles,34,140.28,0,38,Tuesday,4769.52
2024-01-02,S05,Household,Tissue,9,480.32,5,8,Tuesday,4106.74
2024-01-02,S02,Snacks,Chips,21,111.53,0,16,Tuesday,2342.13
2024-01-02,S05,Personal Care,Shampoo,20,352.27,0,12,Tuesday,7045.4
2024-01-02,S02,Snacks,Noodles,44,128.45,5,42,Tuesday,5369.21
